,TF,Accuracy,AUROC,AUPR,Model
0,TARDBP,0.9715111255645752,0.9933705925941467,0.9943122863769531,LAMAR Layer5 CNN (random)
1,TARDBP,0.9624277353286743,0.9929169416427612,0.9928340911865234,LAMAR Layer5 CNN (random)
2,TARDBP,0.9756399393081665,0.995595395565033,0.9962769746780396,LAMAR Layer5 CNN (random)
3,TARDBP,0.9545829892158508,0.9937053322792053,0.9944171905517578,LAMAR Layer5 CNN (random)
4,TARDBP,0.9723368883132935,0.9956738352775574,0.9961543083190918,LAMAR Layer5 CNN (random)
5,SF3B4,0.9283965826034546,0.980272114276886,0.9776984453201294,LAMAR Layer5 CNN (random)
6,SF3B4,0.9251835942268372,0.9795259833335876,0.9782869219779968,LAMAR Layer5 CNN (random)
7,SF3B4,0.9195226430892944,0.9757768511772156,0.973960816860199,LAMAR Layer5 CNN (random)
8,SF3B4,0.9244186282157898,0.9780189990997314,0.9759521484375,LAMAR Layer5 CNN (random)
9,SF3B4,0.9283965826034546,0.9799351692199707,0.9786789417266846,LAMAR Layer5 CNN (random)
10,PUM2,0.8924137949943542,0.9589224457740784,0.9601711630821228,LAMAR Layer5 CNN (random)
11,PUM2,0.882758617401123,0.9590569734573364,0.9603073596954346,LAMAR Layer5 CNN (random)
12,PUM2,0.8786206841468811,0.9493591785430908,0.949101448059082,LAMAR Layer5 CNN (random)
13,PUM2,0.884482741355896,0.9557275176048279,0.9569151401519775,LAMAR Layer5 CNN (random)
14,PUM2,0.8941379189491272,0.9567179083824158,0.9583813548088074,LAMAR Layer5 CNN (random)
15,PTBP1,0.9450108408927917,0.9884393811225891,0.9901390671730042,LAMAR Layer5 CNN (random)
16,PTBP1,0.9456286430358887,0.9889357089996338,0.9901718497276306,LAMAR Layer5 CNN (random)
17,PTBP1,0.9450108408927917,0.9889180064201355,0.9904538989067078,LAMAR Layer5 CNN (random)
18,PTBP1,0.9428483247756958,0.9891279339790344,0.9903719425201416,LAMAR Layer5 CNN (random)
19,PTBP1,0.9459375739097595,0.9893752932548523,0.9907044768333435,LAMAR Layer5 CNN (random)
20,HNRNPK,0.945026159286499,0.9886056184768677,0.9877749681472778,LAMAR Layer5 CNN (random)
21,HNRNPK,0.9284467697143555,0.9825186133384705,0.9788411855697632,LAMAR Layer5 CNN (random)
22,HNRNPK,0.9581151604652405,0.989126443862915,0.9882950782775879,LAMAR Layer5 CNN (random)
23,HNRNPK,0.9572426080703735,0.9890640377998352,0.9887880086898804,LAMAR Layer5 CNN (random)
24,HNRNPK,0.9345549941062927,0.9877543449401855,0.9857467412948608,LAMAR Layer5 CNN (random)
25,U2AF1,0.867559552192688,0.9530614018440247,0.9587925672531128,LAMAR Layer5 CNN (random)
26,U2AF1,0.8586309552192688,0.9426557421684265,0.944564163684845,LAMAR Layer5 CNN (random)
27,U2AF1,0.8660714030265808,0.949505627155304,0.9503142833709717,LAMAR Layer5 CNN (random)
28,U2AF1,0.8690476417541504,0.950312614440918,0.9509894847869873,LAMAR Layer5 CNN (random)
29,U2AF1,0.8705357313156128,0.9454710483551025,0.9464077949523926,LAMAR Layer5 CNN (random)
30,TIA1,0.8657087683677673,0.9377790689468384,0.9342522621154785,LAMAR Layer5 CNN (random)
31,TIA1,0.8643271327018738,0.938513994216919,0.9358140230178833,LAMAR Layer5 CNN (random)
32,TIA1,0.8571428656578064,0.9363561272621155,0.9333498477935791,LAMAR Layer5 CNN (random)
33,TIA1,0.865985095500946,0.9382383227348328,0.9342536926269531,LAMAR Layer5 CNN (random)
34,TIA1,0.8626692295074463,0.9388123750686646,0.9360133409500122,LAMAR Layer5 CNN (random)
35,RBFOX2,0.8897550106048584,0.9602941274642944,0.9603264927864075,LAMAR Layer5 CNN (random)
36,RBFOX2,0.9075723886489868,0.9703180193901062,0.9709320068359375,LAMAR Layer5 CNN (random)
37,RBFOX2,0.9053452014923096,0.968885064125061,0.9688239097595215,LAMAR Layer5 CNN (random)
38,RBFOX2,0.8969933390617371,0.9635119438171387,0.9635606408119202,LAMAR Layer5 CNN (random)
39,RBFOX2,0.8997772932052612,0.9614169001579285,0.9604479670524597,LAMAR Layer5 CNN (random)
40,SRSF1,0.8849040865898132,0.9557014107704163,0.9584043025970459,LAMAR Layer5 CNN (random)
41,SRSF1,0.9065888524055481,0.9637789726257324,0.9660826325416565,LAMAR Layer5 CNN (random)
42,SRSF1,0.8715596199035645,0.9453111886978149,0.9486255645751953,LAMAR Layer5 CNN (random)
43,SRSF1,0.9140951037406921,0.9653031229972839,0.9666252732276917,LAMAR Layer5 CNN (random)
44,SRSF1,0.8673895001411438,0.9438483119010925,0.9432895183563232,LAMAR Layer5 CNN (random)
45,QKI,0.9502924084663391,0.9785387516021729,0.9844415187835693,LAMAR Layer5 CNN (random)
46,QKI,0.9597952961921692,0.985790491104126,0.9898538589477539,LAMAR Layer5 CNN (random)
47,QKI,0.9239766001701355,0.973564624786377,0.9790462851524353,LAMAR Layer5 CNN (random)
48,QKI,0.9415204524993896,0.976629912853241,0.9825114011764526,LAMAR Layer5 CNN (random)
49,QKI,0.9495614171028137,0.9767774343490601,0.9826724529266357,LAMAR Layer5 CNN (random)
