,TF,Accuracy,AUROC,AUPR,Model
0,TARDBP,0.9748141765594482,0.9947494864463806,0.9940825700759888,LAMAR TAPT Layer5 CNN
1,TARDBP,0.9690338373184204,0.9933354258537292,0.9913658499717712,LAMAR TAPT Layer5 CNN
2,TARDBP,0.9710982441902161,0.9936882257461548,0.9926938414573669,LAMAR TAPT Layer5 CNN
3,TARDBP,0.9719240069389343,0.9937111139297485,0.9910213947296143,LAMAR TAPT Layer5 CNN
4,TARDBP,0.9719240069389343,0.9949468970298767,0.9949293732643127,LAMAR TAPT Layer5 CNN
5,SF3B4,0.9250305891036987,0.978265643119812,0.9774289131164551,LAMAR TAPT Layer5 CNN
6,SF3B4,0.9253365993499756,0.9778662919998169,0.9763385653495789,LAMAR TAPT Layer5 CNN
7,SF3B4,0.925489604473114,0.9787870049476624,0.9778465032577515,LAMAR TAPT Layer5 CNN
8,SF3B4,0.9248775839805603,0.9780657291412354,0.9779213666915894,LAMAR TAPT Layer5 CNN
9,SF3B4,0.9296205639839172,0.9783602356910706,0.9776616096496582,LAMAR TAPT Layer5 CNN
10,PUM2,0.8824138045310974,0.9572468996047974,0.9541923403739929,LAMAR TAPT Layer5 CNN
11,PUM2,0.8848276138305664,0.9596350193023682,0.9567534923553467,LAMAR TAPT Layer5 CNN
12,PUM2,0.8896551728248596,0.9596272706985474,0.9563916921615601,LAMAR TAPT Layer5 CNN
13,PUM2,0.8924137949943542,0.961060106754303,0.9597684144973755,LAMAR TAPT Layer5 CNN
14,PUM2,0.887586236000061,0.9604547023773193,0.9566166996955872,LAMAR TAPT Layer5 CNN
15,PTBP1,0.9493358135223389,0.9896677136421204,0.9906810522079468,LAMAR TAPT Layer5 CNN
16,PTBP1,0.951189398765564,0.9887579679489136,0.9895841479301453,LAMAR TAPT Layer5 CNN
17,PTBP1,0.9514983296394348,0.9904714822769165,0.9911645650863647,LAMAR TAPT Layer5 CNN
18,PTBP1,0.9493358135223389,0.989723801612854,0.9906942248344421,LAMAR TAPT Layer5 CNN
19,PTBP1,0.9521161317825317,0.9903289079666138,0.9915726184844971,LAMAR TAPT Layer5 CNN
20,HNRNPK,0.9572426080703735,0.986811637878418,0.982574462890625,LAMAR TAPT Layer5 CNN
21,HNRNPK,0.9642233848571777,0.9878730773925781,0.9850132465362549,LAMAR TAPT Layer5 CNN
22,HNRNPK,0.9546247720718384,0.9865724444389343,0.985778272151947,LAMAR TAPT Layer5 CNN
23,HNRNPK,0.9624781608581543,0.9883772134780884,0.9847844243049622,LAMAR TAPT Layer5 CNN
24,HNRNPK,0.9572426080703735,0.9854502081871033,0.9797044992446899,LAMAR TAPT Layer5 CNN
25,U2AF1,0.898809552192688,0.9573177099227905,0.9625300168991089,LAMAR TAPT Layer5 CNN
26,U2AF1,0.90625,0.9543382525444031,0.9557965397834778,LAMAR TAPT Layer5 CNN
27,U2AF1,0.9002976417541504,0.9582886695861816,0.9648346304893494,LAMAR TAPT Layer5 CNN
28,U2AF1,0.8973214030265808,0.9631079435348511,0.9604135751724243,LAMAR TAPT Layer5 CNN
29,U2AF1,0.898809552192688,0.9575881361961365,0.9524717926979065,LAMAR TAPT Layer5 CNN
30,TIA1,0.8775904774665833,0.9469066262245178,0.9420443177223206,LAMAR TAPT Layer5 CNN
31,TIA1,0.8764852285385132,0.9484092593193054,0.9419810175895691,LAMAR TAPT Layer5 CNN
32,TIA1,0.8742746710777283,0.9488522410392761,0.9443880319595337,LAMAR TAPT Layer5 CNN
33,TIA1,0.8712351322174072,0.947060763835907,0.9434232711791992,LAMAR TAPT Layer5 CNN
34,TIA1,0.8770378828048706,0.9483699202537537,0.9421602487564087,LAMAR TAPT Layer5 CNN
35,RBFOX2,0.8930957913398743,0.9620001912117004,0.9584652185440063,LAMAR TAPT Layer5 CNN
36,RBFOX2,0.8981069326400757,0.9655759930610657,0.9608579277992249,LAMAR TAPT Layer5 CNN
37,RBFOX2,0.897550106048584,0.9561112523078918,0.9458115100860596,LAMAR TAPT Layer5 CNN
38,RBFOX2,0.8886414170265198,0.9611033797264099,0.9578053951263428,LAMAR TAPT Layer5 CNN
39,RBFOX2,0.890868604183197,0.9629509449005127,0.9577327966690063,LAMAR TAPT Layer5 CNN
40,SRSF1,0.9182652235031128,0.9675433039665222,0.9628722667694092,LAMAR TAPT Layer5 CNN
41,SRSF1,0.9132610559463501,0.9685993194580078,0.9609900116920471,LAMAR TAPT Layer5 CNN
42,SRSF1,0.9040867686271667,0.9732887744903564,0.9707578420639038,LAMAR TAPT Layer5 CNN
43,SRSF1,0.904920756816864,0.9662184119224548,0.9609349966049194,LAMAR TAPT Layer5 CNN
44,SRSF1,0.9216013550758362,0.9697542786598206,0.9636598229408264,LAMAR TAPT Layer5 CNN
45,QKI,0.9627193212509155,0.9861400127410889,0.9855124354362488,LAMAR TAPT Layer5 CNN
46,QKI,0.9539473652839661,0.9856386780738831,0.9872738122940063,LAMAR TAPT Layer5 CNN
47,QKI,0.9583333134651184,0.9830201864242554,0.9845016002655029,LAMAR TAPT Layer5 CNN
48,QKI,0.9532163739204407,0.9875774383544922,0.9888726472854614,LAMAR TAPT Layer5 CNN
49,QKI,0.9532163739204407,0.9879739284515381,0.9896829128265381,LAMAR TAPT Layer5 CNN
