,TF,Accuracy,AUROC,AUPR,Model
0,TARDBP_K562_200,0.97398841381073,0.9959641098976135,0.9959160089492798,One-Hot CNN
1,TARDBP_K562_200,0.9760528206825256,0.9955824613571167,0.9956798553466797,One-Hot CNN
2,TARDBP_K562_200,0.9760528206825256,0.995318591594696,0.995445191860199,One-Hot CNN
3,TARDBP_K562_200,0.9760528206825256,0.9957928657531738,0.9964339137077332,One-Hot CNN
4,TARDBP_K562_200,0.9764657020568848,0.9962170720100403,0.9968191385269165,One-Hot CNN
5,SF3B4_K562_200,0.9207466244697571,0.976420521736145,0.9748481512069702,One-Hot CNN
6,SF3B4_K562_200,0.9267135858535767,0.9780318140983582,0.9768097996711731,One-Hot CNN
7,SF3B4_K562_200,0.9215116500854492,0.9769235849380493,0.9762420654296875,One-Hot CNN
8,SF3B4_K562_200,0.922429621219635,0.9782696962356567,0.9775917530059814,One-Hot CNN
9,SF3B4_K562_200,0.9161566495895386,0.974199652671814,0.9731956720352173,One-Hot CNN
10,PUM2_K562_200,0.8748275637626648,0.9480064511299133,0.9474503993988037,One-Hot CNN
11,PUM2_K562_200,0.8562068939208984,0.9311879873275757,0.9277324676513672,One-Hot CNN
12,PUM2_K562_200,0.8834483027458191,0.9533966779708862,0.9531903266906738,One-Hot CNN
13,PUM2_K562_200,0.8724138140678406,0.9443976283073425,0.9434754252433777,One-Hot CNN
14,PUM2_K562_200,0.8799999952316284,0.9471232891082764,0.9454628229141235,One-Hot CNN
15,PTBP1_K562_200,0.9474822282791138,0.9886463284492493,0.9898921251296997,One-Hot CNN
16,PTBP1_K562_200,0.9471732974052429,0.9888677597045898,0.9900335073471069,One-Hot CNN
17,PTBP1_K562_200,0.9471732974052429,0.9883190989494324,0.9891307950019836,One-Hot CNN
18,PTBP1_K562_200,0.9502626061439514,0.9883458614349365,0.9895278811454773,One-Hot CNN
19,PTBP1_K562_200,0.9477911591529846,0.9886606335639954,0.9898839592933655,One-Hot CNN
20,HNRNPK_K562_200,0.9476439952850342,0.9885112047195435,0.9870195388793945,One-Hot CNN
21,HNRNPK_K562_200,0.9528796076774597,0.9886817336082458,0.9883578419685364,One-Hot CNN
22,HNRNPK_K562_200,0.9546247720718384,0.9890137314796448,0.9888488054275513,One-Hot CNN
23,HNRNPK_K562_200,0.9528796076774597,0.9892162680625916,0.9888521432876587,One-Hot CNN
24,HNRNPK_K562_200,0.952006995677948,0.988893449306488,0.9868654012680054,One-Hot CNN
25,U2AF1_K562_200,0.8660714030265808,0.9488272666931152,0.9538716077804565,One-Hot CNN
26,U2AF1_K562_200,0.855654776096344,0.945772647857666,0.949471116065979,One-Hot CNN
27,U2AF1_K562_200,0.8660714030265808,0.9515761733055115,0.9564520120620728,One-Hot CNN
28,U2AF1_K562_200,0.8497023582458496,0.9393703937530518,0.9494221210479736,One-Hot CNN
29,U2AF1_K562_200,0.8452380895614624,0.9342718124389648,0.9410147070884705,One-Hot CNN
30,TIA1_K562_200,0.8571428656578064,0.9332369565963745,0.9271456003189087,One-Hot CNN
31,TIA1_K562_200,0.8634982109069824,0.937865138053894,0.9331908226013184,One-Hot CNN
32,TIA1_K562_200,0.8599060773849487,0.9346474409103394,0.9280979037284851,One-Hot CNN
33,TIA1_K562_200,0.856590211391449,0.9340823292732239,0.9290639162063599,One-Hot CNN
34,TIA1_K562_200,0.8621166348457336,0.9365776777267456,0.9317793250083923,One-Hot CNN
35,RBFOX2_K562_200,0.8992204666137695,0.9633829593658447,0.9629822373390198,One-Hot CNN
36,RBFOX2_K562_200,0.903674840927124,0.9692860245704651,0.9680410623550415,One-Hot CNN
37,RBFOX2_K562_200,0.9059020280838013,0.9680783152580261,0.9672887325286865,One-Hot CNN
38,RBFOX2_K562_200,0.9008908867835999,0.9672311544418335,0.967204213142395,One-Hot CNN
39,RBFOX2_K562_200,0.9070155620574951,0.969671368598938,0.9697951078414917,One-Hot CNN
40,SRSF1_K562_200,0.9015846252441406,0.9617297053337097,0.9633827209472656,One-Hot CNN
41,SRSF1_K562_200,0.9074228405952454,0.9655023217201233,0.9674251079559326,One-Hot CNN
42,SRSF1_K562_200,0.8949124217033386,0.9593779444694519,0.9606194496154785,One-Hot CNN
43,SRSF1_K562_200,0.8932443857192993,0.9586479663848877,0.9592680931091309,One-Hot CNN
44,SRSF1_K562_200,0.8999165892601013,0.9602264165878296,0.9603937864303589,One-Hot CNN
45,QKI_K562_200,0.9437134265899658,0.9790699481964111,0.9823713302612305,One-Hot CNN
46,QKI_K562_200,0.9451754093170166,0.9819652438163757,0.983981728553772,One-Hot CNN
47,QKI_K562_200,0.9429824352264404,0.9800083041191101,0.9825330972671509,One-Hot CNN
48,QKI_K562_200,0.9466374516487122,0.983578085899353,0.9865655303001404,One-Hot CNN
49,QKI_K562_200,0.9407894611358643,0.981636106967926,0.9849504232406616,One-Hot CNN
