RBP,n_pos,n_neg,gc_pos_v1,gc_neg_v1,gc_diff_v1,gc_pos_v2,gc_neg_v2,gc_diff_v2
HNRNPK_K562_200,2863,2863,0.5750035,0.40619978,0.16880372,0.44396612,0.5065753,-0.062609166
PTBP1_K562_200,8092,8092,0.43471825,0.4073715,0.02734676,0.5400766,0.50603807,0.034038544
PUM2_K562_200,7248,7248,0.37991583,0.41379622,-0.033880383,0.5383533,0.5081864,0.030166924
QKI_K562_200,3419,3419,0.348716,0.45472947,-0.10601348,0.50244075,0.50616264,-0.0037218928
RBFOX2_K562_200,4488,4488,0.5573284,0.42585674,0.13147166,0.5659013,0.5062823,0.05961895
SF3B4_K562_200,16338,16338,0.50020075,0.41166696,0.08853379,0.52785194,0.5082473,0.019604623
SRSF1_K562_200,2997,2997,0.54293627,0.4428912,0.100045055,0.5278328,0.50617784,0.021654963
TARDBP_K562_200,6055,6055,0.44314617,0.41727993,0.02586624,0.6133732,0.5049323,0.108440936
TIA1_K562_200,9045,9045,0.49011165,0.5451675,-0.055055857,0.5569635,0.49971697,0.057246536
U2AF1_K562_200,1790,1567,0.43436313,0.495,-0.060636878,0.5482486,0.5014295,0.04681909
